urls,
url,score
http://abcnews.go.com/,7
http://www.ohio.com/,7
https://aeon.co/,7
http://www.al-monitor.com/pulse/home.html,7
http://abovethelaw.com/,7
http://www.aljazeera.com/,7
https://www.guttmacher.org/,7
http://www.amny.com/,7
http://www.timesunion.com/,7
http://ahtribune.com/,7
http://www.adn.com/,7
https://www.aclu.org/,7
http://www.adl.org/,7
http://tucson.com/,7
http://www.americamagazine.org/,7
https://www.aol.com/,7
http://aranews.net/,7
http://www.atlanticmedia.com/,7
http://www.citizen-times.com/,7
http://www.attn.com/,7
https://www.axios.com/,7
http://www.ajc.com/,7
http://www.bbc.com/news,7
https://backchannel.com/,7
https://baptistnews.com/,7
http://www.bjreview.com/,7
http://billmoyers.com/,7
http://www.berkshireeagle.com/,7
http://us.blastingnews.com/,7
https://www.bloomberg.com/,7
http://www.baltimoresun.com/,7
http://www.bluestemprairie.com/,7
https://www.bostonglobe.com/,7
http://www.buffalonews.com/,7
https://www.bustle.com/,7
http://www.businessinsider.com/,7
http://bgr.com/,7
https://www.brookings.edu/,7
https://www.buzzfeed.com/,7
http://www.cbsnews.com/,7
http://carolinapublicpress.org/,7
http://calgaryherald.com/,7
http://www.cbc.ca/news,7
http://www.cctv-america.com/,7
http://www.wvgazettemail.com/,7
http://www.charlotteobserver.com/,7
http://chicago.suntimes.com/,7
http://www.legitgov.org/,7
http://ctj.org/,7
https://cleantechnica.com/,7
http://www.cjr.org/,7
http://www.cnbc.com/,7
http://www.commonwealthfund.org/,7
http://www.councilforthenationalinterest.org/,7
http://credoaction.com/,7
http://www.ctvnews.ca/,7
http://crosscut.com/,7
https://www.ciponline.org/,7
https://www.dcreport.org/,7
http://deadline.com/,7
http://www.denverpost.com/,7
http://www.freep.com/,7
https://supreme.justia.com/cases/federal/us/376/254/,7
http://www.democratandchronicle.com/,7
http://digg.com/,7
http://www.dutchdailynews.com/,7
http://www.dw.com/en/top-stories/s-9097,7
http://edmontonjournal.com/,7
